classification,Side,Win_Rate,Avg_Win,Avg_Loss,Expected_Value
Extreme Greed,SELL,0.5898331217123164,198.47186066787117,-6.047864633830846,114.58464339261748
Fear,BUY,0.2629996696399075,262.12555331164424,-6.800308882334482,63.92710403230922
Greed,SELL,0.44859486142962646,151.2640362816047,-14.80794825736642,59.69109063423639
Fear,SELL,0.572053093420344,103.22116229305571,-32.71047050884596,45.0496405291602
Neutral,SELL,0.5560720200886894,90.89608463066872,-24.977839070405583,39.456407757653466
Extreme Fear,SELL,0.5471571906354515,124.77995750733496,-73.52252160751213,34.9801057610129
Extreme Fear,BUY,0.20164609053497942,299.7468450589569,-32.9780471539519,34.11462658445359
Neutral,BUY,0.24002319574041858,161.68677509136833,-12.607158396295784,29.227428517581316
Greed,BUY,0.3180745442708333,187.16604186798006,-50.63669461650456,25.002302417154944
Extreme Greed,BUY,0.3114269788182832,72.40876162162162,-17.501578288755766,10.498927234057975
