classification,Side,total_trades,avg_pnl,win_rate
Extreme Fear,BUY,10935,34.11462658445359,0.20164609053497942
Extreme Fear,SELL,10465,34.9801057610129,0.5471571906354515
Extreme Greed,BUY,17940,10.498927234057971,0.3114269788182832
Extreme Greed,SELL,22052,114.58464339261745,0.5898331217123164
Fear,BUY,30270,63.92710403230922,0.2629996696399075
Fear,SELL,31567,45.04964052916019,0.572053093420344
Greed,BUY,24576,25.002302417154947,0.3180745442708333
Greed,SELL,25727,59.6910906342364,0.44859486142962646
Neutral,BUY,18969,29.227428517581316,0.24002319574041858
Neutral,SELL,18717,39.45640775765347,0.5560720200886894
